model,feature_set,cv_MAE,cv_RMSE,cv_R2,test_MAE,test_RMSE,test_R2,test_MAPE
Linear,sprint_bio_v2,0.13217558379151675,0.17716469456829903,0.4964007289324776,35.48668162435729,49.48605709038742,0.44552827094477354,13.893777355637402
Ridge,sprint_bio_v2,0.13208695553362465,0.17712599292478828,0.4966189930450734,35.4532309062318,49.403687828507785,0.4473725648660355,13.88382840666152
Lasso,sprint_bio_v2,0.13216101593753177,0.17812197536012597,0.491260549085016,35.39007284254104,49.24391349597687,0.4509412418956268,13.890114917313646
DecisionTree,sprint_bio_v2,0.13039151994486947,0.1732688087376185,0.5184258729758267,34.82269566549313,48.100183458682814,0.47614973302571073,13.535363803675999
RandomForest,sprint_bio_v2,0.12604907158241616,0.16627722943070505,0.5568341905772589,33.40578299703081,46.156133164946965,0.517638608562081,12.967840716816067
XGBoost,sprint_bio_v2,0.1253895960067128,0.1657314028303746,0.5597329445652062,33.66459198913489,46.4281071793396,0.5119372522561763,13.045090836085926
