model,feature_set,cv_MAE,cv_RMSE,cv_R2,test_MAE,test_RMSE,test_R2,test_MAPE
Linear,sprint_only,34.85450765626549,48.50108210760718,0.47356120918033995,35.55707668989798,49.70328694399633,0.45049558654583444,13.459368497235053
Ridge,sprint_only,34.844782441409635,48.49781830470197,0.47362817509769817,35.54928454948836,49.68932322157217,0.4508043005050766,13.456642307691688
Lasso,sprint_only,34.79682850205868,48.47968649458363,0.47399983591723177,35.54187112868372,49.65205407530702,0.45162783270724616,13.453349977162041
DecisionTree,sprint_only,35.1096750974036,48.29690563126577,0.47804665677806446,35.565277798254364,48.93589494074163,0.4673327022123438,13.321821459822722
RandomForest,sprint_only,34.05023159681325,46.857042563511,0.5086316075220723,34.491788696049966,47.65187898842985,0.49491900767767516,12.832815989779576
XGBoost,sprint_only,33.944531435513206,46.77298293542365,0.5104991691878817,35.0461249057344,48.28907160057295,0.4813209864896253,13.072780718116627
