model,feature_set,cv_MAE,cv_RMSE,cv_R2,test_MAE,test_RMSE,test_R2,test_MAPE
Linear,full_submax,0.04564904497673844,0.0732639194899805,0.912765002041211,12.630912263398866,24.141446473069102,0.8680406158887527,4.978589422697579
Ridge,full_submax,0.0455178793410391,0.07300610363883009,0.9134585673291188,12.600069560626597,23.915240519844822,0.8705019556175237,4.980016775092242
Lasso,full_submax,0.04513195758577947,0.07326869769813468,0.9131063527495831,12.604328810317709,23.795981581248952,0.871790279876889,4.996263836016683
DecisionTree,full_submax,0.033615105616034056,0.05074126275366727,0.9582981185751664,8.917158826561167,14.211598142080684,0.9542701748281737,3.3713366168705696
RandomForest,full_submax,0.029364031102064547,0.04406896672564255,0.9686735111455851,7.975305330745606,13.04030349526893,0.9614974846926315,3.0810786146375464
XGBoost,full_submax,0.029946726354978265,0.04441809428021773,0.968307972948487,8.09119616611123,12.846749064612311,0.9626319714390674,3.1748673813444754
