model,feature_set,cv_MAE,cv_RMSE,cv_R2,test_MAE,test_RMSE,test_R2,test_MAPE
Linear,sprint_eng,0.13347365695425972,0.18187580796495398,0.4873754714475238,37.07141990003417,53.133768448214134,0.37202522033613317,13.7834719744781
Ridge,sprint_eng,0.13344046384280567,0.18178688926546202,0.4878657100386601,37.020396228932135,53.09159253542244,0.37302175789307734,13.762676825939838
Lasso,sprint_eng,0.13315513786620622,0.18220102477176833,0.4855822694136801,36.93685551604497,53.08028669142864,0.3732887592431977,13.737508515406741
DecisionTree,sprint_eng,0.13020959217964162,0.17603619355908498,0.520013323119023,35.484425988902665,49.01013787677737,0.4657152071893452,13.074618022043108
RandomForest,sprint_eng,0.1255983899786584,0.16938948291720032,0.5555943767286282,34.56541479571069,47.660614403690154,0.4947338105056779,12.74156002773773
XGBoost,sprint_eng,0.12545941755909998,0.1695587156750023,0.5548661214710642,34.80758659726699,47.77296106561155,0.49234895356213737,12.841106518417448
