model,feature_set,cv_MAE,cv_RMSE,cv_R2,test_MAE,test_RMSE,test_R2,test_MAPE
Linear,sprint_bio,34.92766825013933,48.788305686832594,0.46999669271135425,34.67236319365753,47.54174959185788,0.48824272592366325,13.845889783705964
Ridge,sprint_bio,34.90759355993701,48.82106719666632,0.46945134120201104,34.64506874291949,47.53993972928548,0.488281689264918,13.835202148011355
Lasso,sprint_bio,34.881188959168696,48.72949526679311,0.4714584147831723,34.56947052959068,47.55239471842898,0.48801352397356024,13.8163364148018
DecisionTree,sprint_bio,35.86684114725131,49.06253782422907,0.4648348020397449,35.869785484224266,48.80697905656795,0.4606414607471496,14.142335952426633
RandomForest,sprint_bio,34.36946039975062,47.229457537147894,0.5044130444120452,33.635385330019446,46.229095921330774,0.516112387381201,13.251503097050122
XGBoost,sprint_bio,34.170812318907686,47.07978713260537,0.5076929243675834,33.88446391196255,46.59334376538197,0.5084570616797857,13.374203233253509
