Experiment,R²,MAE,RMSE,ΔR²,ΔMAE
"0. Baseline (sprint_bio, raw)",0.5132051711398453,33.80024808547653,46.36776109069673,0.0,0.0
2. Log(FTP) target → exp(pred),0.5212922726661489,33.51534576903272,45.98099522304131,0.008087101526303542,-0.28490231644381225
3. Ramp + power-law features,0.5093398235515879,33.8980529362571,46.551486475346834,-0.003865347588257406,0.09780485078056955
4. FTP/kg target → pred × kg,0.5071547418557892,33.992363982233954,46.65502636913285,-0.00605042928405608,0.19211589675742147
5. Ramps + log(FTP) [combo],0.5189975244791816,33.59793783996667,46.09107142592819,0.005792353339336254,-0.20231024550986376
6. Ramps + FTP/kg [combo],0.504411989863452,33.98878325217406,46.78466708790842,-0.00879318127639328,0.1885351666975268
7. Ramps + log(FTP/kg) [best?],0.5056848722943973,33.8454284453267,46.72454692044273,-0.007520298845448026,0.04518035985016411
RF on best config,0.5222004363020032,33.257624852766355,45.937358898323104,0.008995265162157873,-0.5426232327101772
