id,age,gender,activities,bike,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,weightkg,5s_critical_power,10s_critical_power,20s_critical_power,30s_critical_power,gender_encoded,fatigue_index,early_decay,mid_decay,late_decay,anaerobic_reserve,decay_curvature,sprint_wpk_1s,sprint_wpk_15s,sprint_wpk_30s
059674bb-f3b5-4cf3-933b-6e6d72729fbc,54,M,26,22,383.0,312.26667,276.1,235.42778,198.09333,204.69792,191.01167,187.60333,174.40056,90.0,335.0,320.0,307.0,305.0,0,0.7963446475195822,0.8746736292428199,0.9321393134328357,0.9767292807778686,78.0,0.18063169720798822,4.2555555555555555,3.4696296666666666,3.388888888888889
031046ff-34df-453a-9e98-02c49a869d05,20,M,7,7,1215.0,854.33333,493.275,475.31667,440.76333,425.70208,414.445,400.82417,399.64667,75.0,1037.0,955.0,756.0,663.0,0,0.5456790123456791,0.8534979423868313,0.8238508486017359,0.7760437018183522,552.0,0.09863147837194397,16.2,11.391111066666667,8.84
af7a9adf-4bcf-43c1-8bc4-13594ef8cbb0,36,M,396,55,704.0,517.46667,418.1,352.53889,333.92333,331.84792,329.66667,310.725,310.60778,79.2840909090909,683.0,617.0,491.0,479.0,0,0.6803977272727273,0.9701704545454546,0.7576378770131772,0.9256634828287588,225.0,0.2305887190323963,8.879461086426831,6.526740283789595,6.041565142611438
88f2818e-7fac-4ca5-a1ba-527279a14d84,47,M,168,158,1683.0,688.26667,308.49167,277.13889,250.31667,244.98333,239.53,222.89333,219.65333,64.0,819.0,712.0,654.0,492.0,0,0.29233511586452765,0.48663101604278075,0.8403744444444444,0.7148392061466524,1191.0,0.5584591815243565,26.296875,10.75416671875,7.6875
004f16c9-6ec5-40ae-9ee0-d3b066e8a33b,45,M,105,89,1000.0,857.62234,687.94167,665.79444,617.72833,553.92396,545.49833,530.58,470.23611,90.0,923.0,895.0,814.0,710.0,0,0.71,0.923,0.9291682990249187,0.8278702254887623,290.0,-0.035307429817612146,11.11111111111111,9.529137111111112,7.888888888888889
1c3167c3-3df0-4330-8a9c-6afacba9b98a,53,M,50,49,761.0,501.73333,225.10833,200.03889,176.09667,171.89167,168.91833,163.35417,157.33222,95.23443479999996,669.0,500.0,411.0,399.0,0,0.5243101182654402,0.8791064388961892,0.7499750822122572,0.7952431623388464,362.0,0.187457247936476,7.990807123475471,5.268402453940959,4.189661027945746
6257f49d-0fa5-4eab-aa1f-7fe90c6aac67,41,M,234,210,2338.0,1055.46667,564.05833,532.12778,437.90667,387.71042,356.41333,324.19083,307.83944,84.05416153846153,1207.0,1116.0,970.0,870.0,0,0.3721129170230967,0.5162532078699743,0.8744545733222867,0.8242799367601062,1468.0,0.6020677750039392,27.81539851456584,12.556982910561059,10.350469079415005
14b961a3-64d5-4a6a-9578-5c351cd2b405,69,M,824,346,2081.0,1092.2,347.35,324.85556,299.44667,273.68125,258.59167,252.41333,241.14667,86.69174757281553,685.0,650.0,612.0,544.0,0,0.26141278231619414,0.3291686689091783,1.5944525547445256,0.4980772752243179,1537.0,-0.05234550618653078,24.004591651034524,12.598661701710672,6.275107091861019
0a063519-6876-49ef-aaa9-486ea5fc7440,18,M,120,120,1492.0,859.66667,450.40833,402.35,395.33667,350.97708,336.27333,306.9175,287.24722,58.29999999999998,1094.0,985.0,683.0,607.0,0,0.40683646112600536,0.7332439678284183,0.7858013436928701,0.7060876281268413,885.0,0.20331212964179013,25.591766723842202,14.745568953687824,10.411663807890227
7a37c0e6-03bf-488c-90e3-5c95b99c8e6a,38,M,173,0,570.6,452.86427,223.40007,207.98272,199.76228,195.81925,193.11335,187.9862,182.26412,67.0,526.0,487.0,410.0,298.0,0,0.5222572730459165,0.9218366631615843,0.8609586882129278,0.6580338077896939,272.6,-0.1874029864402278,8.516417910447762,6.759168208955224,4.447761194029851
cf500e04-d5d4-428c-9106-8542720fe632,47,M,912,910,2000.0,876.86667,362.725,337.68889,323.07,302.05208,288.47833,258.74917,246.56833,66.0,2404.0,1259.0,686.0,595.0,0,0.2975,1.202,0.364753190515807,0.6785524189213396,1405.0,0.43675396275174627,30.303030303030305,13.285858636363637,9.015151515151516
f75605df-087d-4326-88be-73fc319b7706,46,M,1201,855,1262.0,1007.13333,554.425,489.66111,434.98667,404.84583,392.65167,338.215,325.09056,71.80829225645296,1167.0,1071.0,959.0,874.0,0,0.6925515055467512,0.9247226624405706,0.8630105655526993,0.8678096275495122,388.0,0.08380684449311193,17.574571965768925,14.025306804444932,12.171296274232995
